"","var","J1","J2","LR1","LR2","hypo","Include_J1","Include_J2","Include_LR1","Include_LR2"
"1","moran",82.8820210004903,84.8191381158679,22.14242650236,24.6041908984307,"H2",1,1,1,1
"2","rel_occ_Ncells",70.8652724533478,83.9735637900484,39.0385763117754,38.2722104161009,"H2",1,1,1,1
"3","AOO",66.474349054604,63.3642598264587,37.3632754712921,33.7661630248664,"H2",1,1,1,1
"4","D_AOO_a",62.8893578195493,59.6703098996872,50.6253329263556,34.4793092842985,"H2",1,1,1,1
"5","circ",61.9599029517027,63.1757655396757,26.0497189991125,17.0919049349787,"H2",1,1,1,1
"6","rel_relCirc",56.5495631716663,49.1513508915753,30.1353236120096,26.420130812082,"H2",1,1,1,1
"7","x_intercept",45.3946345849922,44.9922470661099,20.1251541620223,25.6952467167323,"H2",1,1,1,1
"8","mean_prob_cooccur",41.1078157576106,NA,39.8594796692373,NA,"H2",1,0,1,0
"9","GlobRangeSize_m2",34.9742767335368,26.5297078647968,9.04722912956605,13.4322645394602,"H1",1,1,1,1
"10","sp_centr_lat",34.2845945502968,37.3041200416039,26.2374160805689,18.6043521107386,"H2",1,1,1,1
"11","BetaSR_sp",34.1365895854131,40.5188540018329,27.0775118611565,18.6507626312005,"H3",1,1,1,1
"12","Dist_centroid_to_COG",31.6362379761141,38.6065431484445,18.2630677163423,19.5908612052863,"H2",1,1,1,1
"13","sp_centr_lon",29.5053360607528,30.9034602077084,26.8312539897477,27.6394369652951,"H2",1,1,1,1
"14","Southernness",25.9914367284141,27.6526077791766,31.9572134417273,23.8652809819058,"H2",1,1,1,1
"15","AlphaSR_sp",24.783592791864,31.4293611400018,41.350351075962,26.1415457114486,"H3",1,1,1,1
"16","Westernness",24.2591335921753,32.3956429713142,32.8733253857687,31.8179723167015,"H2",1,1,1,1
"17","Trophic.Niche",22.6129904422841,21.0759364681631,8.2593365484288,8.66631335874162,"H1",1,0,1,1
"18","widthMinRect",22.1044076123737,20.8770369502318,30.1256172515898,24.5994117951248,"H2",1,0,1,1
"19","Habitat",20.9731214565825,24.2638399541416,16.2730421107867,11.2638015193724,"H1",1,0,1,1
"20","dataset",16.6119794242446,16.8023604169548,19.6170457119187,9.47062206784349,"H4",0,0,1,1
"21","sd_PC2",15.1902667435141,17.3002761301917,5.54034151517196,9.89548538538263,"H1",0,0,1,1
"22","rel_maxDist",15.1561925085192,18.9873656371569,25.0670072732169,23.5905583741129,"H2",0,0,1,1
"23","bearingMinRect",12.563885201997,12.8551976571828,19.0792309795427,16.8749690242252,"H2",0,0,1,1
"24","sd_PC1",12.3681107060977,8.18940315057532,10.9575857746063,12.0849029390253,"H1",0,0,1,1
"25","minDist_toBorder_centr",12.2949982478145,18.711488897684,22.2163197655467,18.6909108395887,"H2",0,0,1,1
"26","rel_lin",11.4411404549596,16.9448563820841,24.6350664831381,27.5261472926279,"H2",0,0,1,1
"27","rel_elonRatio",11.2294262583382,14.1807572907501,24.7065904398028,20.822810829041,"H2",0,0,1,1
"28","Mass",11.1457823564532,13.419019115585,29.7072242482957,39.2485694676618,"H1",0,0,1,1
"29","Hand.Wing.Index",10.4048675588288,11.5684846882991,13.382293647688,11.2642648397137,"H1",0,0,1,1
"30","bearing",9.98028815399007,18.2672333928493,20.5966644989459,26.4345228609808,"H2",0,0,1,1
"31","atlas_bearingMinRect",8.90471013888794,8.59549965885988,6.32256860664424,6.76205571189303,"H4",0,0,1,1
"32","atlas_widthMinRect",6.33323832985324,7.30121819196891,6.40138643260314,6.07506181072776,"H4",0,0,1,0
"33","IUCN",5.66395845513124,0.667159274530527,11.3100986263656,5.92348366217638,"H1",0,0,1,1
"34","Primary.Lifestyle",5.16189883295747,6.88088567443171,8.37127874458978,1.41552850619935,"H1",0,0,1,0
"35","Habitat.Density",4.43245813910103,6.24608998956216,6.82615648919744,1.31179249007712,"H1",0,0,1,0
"36","elonMinRect",4.42994249201327,12.8025364927518,11.6332085963284,15.5956091009364,"H2",0,0,1,1
"37","Migration",3.06500509773578,4.47107626143609,6.21784466050076,3.97239881987205,"H1",0,0,1,0
"38","Trophic.Level",2.33250889201948,4.00689639644703,0.456850446471792,5.42840681709285,"H1",0,0,0,0
"39","FP",0.675449696558696,-2.57657052756648,3.60910489226448,8.1416382020102,"H1",0,0,1,1
