"","x"
"1","|   RMSE| Rsquared|    MAE|model  |subset |"
"2","|------:|--------:|------:|:------|:------|"
"3","| 0.4614|   0.1608| 0.2793|full   |LR1    |"
"4","| 0.4793|   0.1116| 0.3031|1      |LR1    |"
"5","| 0.5045|   0.0221| 0.2990|2      |LR1    |"
"6","| 0.5499|   0.0021| 0.3673|3      |LR1    |"
"7","| 0.5051|   0.0046| 0.3209|4      |LR1    |"
"8","| 0.4647|   0.1507| 0.2798|H1H2   |LR1    |"
"9","| 0.4542|   0.1887| 0.2964|H1H3   |LR1    |"
"10","| 0.4574|   0.1814| 0.2972|H1H4   |LR1    |"
"11","| 0.5031|   0.0339| 0.3006|H2H3   |LR1    |"
"12","| 0.5015|   0.0291| 0.2976|H2H4   |LR1    |"
"13","| 0.5040|   0.0124| 0.3207|H3H4   |LR1    |"
"14","| 0.4568|   0.1822| 0.2768|H1H2H3 |LR1    |"
"15","| 0.4645|   0.1485| 0.2804|H1H2H4 |LR1    |"
"16","| 0.4538|   0.1899| 0.2953|H1H3H4 |LR1    |"
"17","| 0.4568|   0.1822| 0.2768|H2H3H4 |LR1    |"
